timestamp,t_ex,u_ex,t_amb,u_amb,delta_t,delta_u,label_str,classe
1770857851.9652636,34.09,56.04,28.19,77.24,5.900000000000002,-21.2,IDLE,0
1770857596.4977808,33.9,57.05,28.07,77.93,5.829999999999998,-20.88000000000001,IDLE,0
1770857733.5165043,33.72,57.24,28.08,77.96,5.640000000000001,-20.71999999999999,IDLE,0
1770857795.9763432,33.94,56.49,28.18,77.55,5.759999999999998,-21.059999999999995,IDLE,0
1770857584.6807263,33.81,57.11,28.04,77.9,5.770000000000003,-20.790000000000006,IDLE,0
1770857705.0996263,33.57,57.48,28.04,77.91,5.530000000000001,-20.43,IDLE,0
1770857700.0351324,33.58,57.41,28.05,77.87,5.529999999999998,-20.460000000000008,IDLE,0
1770857651.079933,33.8,57.1,28.14,77.82,5.659999999999997,-20.71999999999999,IDLE,0
1770858043.2821026,34.42,54.87,28.2,77.26,6.220000000000002,-22.390000000000008,IDLE,0
1770857613.0971832,33.87,56.98,28.07,77.94,5.799999999999997,-20.96,IDLE,0
1770857797.6637769,33.96,56.47,28.16,77.58,5.800000000000001,-21.11,IDLE,0
1770858028.371353,34.55,54.83,28.22,77.24,6.329999999999998,-22.41,IDLE,0
1770857782.7521367,33.97,56.55,28.18,77.65,5.789999999999999,-21.10000000000001,IDLE,0
1770858034.8425975,34.47,54.82,28.19,77.24,6.279999999999998,-22.419999999999995,IDLE,0
1770857834.239887,34.02,56.12,28.11,77.31,5.910000000000004,-21.190000000000005,IDLE,0
1770858006.7070076,34.46,54.97,28.18,77.22,6.280000000000001,-22.25,IDLE,0
1770857838.7409763,34.04,56.02,28.13,77.23,5.91,-21.21,IDLE,0
1770857677.5271451,33.63,57.29,28.1,77.71,5.530000000000001,-20.419999999999995,IDLE,0
1770857942.8414495,34.37,55.27,28.14,77.35,6.229999999999997,-22.07999999999999,IDLE,0
1770857683.435671,33.65,57.32,28.09,77.73,5.559999999999999,-20.410000000000004,IDLE,0
1770857806.3846526,33.99,56.47,28.13,77.54,5.860000000000003,-21.070000000000007,IDLE,0
1770857906.5462525,34.29,55.44,28.18,77.14,6.109999999999999,-21.700000000000003,IDLE,0
1770857708.7572184,33.61,57.48,28.04,77.95,5.57,-20.47000000000001,IDLE,0
1770858002.768442,34.43,54.98,28.18,77.22,6.25,-22.24,IDLE,0
1770857704.8181424,33.57,57.44,28.06,77.89,5.510000000000002,-20.450000000000003,IDLE,0
1770857661.771462,33.77,57.08,28.15,77.71,5.6200000000000045,-20.629999999999995,IDLE,0
1770857893.604779,34.28,55.41,28.17,77.11,6.109999999999999,-21.700000000000003,IDLE,0
1770857960.8471875,34.44,55.08,28.21,77.27,6.229999999999997,-22.19,IDLE,0
1770857940.5893006,34.33,55.31,28.15,77.37,6.18,-22.06,IDLE,0
1770857625.4777284,33.77,57.04,28.06,77.89,5.710000000000004,-20.85,IDLE,0
1770857909.077852,34.32,55.41,28.16,77.14,6.16,-21.730000000000004,IDLE,0
1770857974.071294,34.47,54.98,28.19,77.24,6.279999999999998,-22.26,IDLE,0
1770857938.6198423,34.33,55.28,28.16,77.32,6.169999999999998,-22.039999999999992,IDLE,0
1770857697.784561,33.58,57.38,28.08,77.83,5.5,-20.45,IDLE,0
1770857906.828452,34.32,55.42,28.16,77.13,6.16,-21.709999999999997,IDLE,0
1770857695.2522862,33.59,57.38,28.07,77.81,5.520000000000003,-20.43,IDLE,0
1770857963.6599867,34.45,55.06,28.21,77.26,6.240000000000002,-22.200000000000003,IDLE,0
1770857654.1752503,33.78,57.09,28.14,77.81,5.640000000000001,-20.72,IDLE,0
1770857969.568292,34.48,55.06,28.21,77.19,6.269999999999996,-22.129999999999995,IDLE,0
1770857586.369254,33.85,57.16,28.05,77.91,5.800000000000001,-20.75,IDLE,0
1770857841.5546544,34.03,56.0,28.14,77.24,5.890000000000001,-21.239999999999995,IDLE,0
1770857791.1925757,33.96,56.5,28.15,77.64,5.810000000000002,-21.14,IDLE,0
1770857616.192047,33.8,56.93,28.05,77.9,5.7499999999999964,-20.97000000000001,IDLE,0
1770857833.3959966,34.02,56.1,28.12,77.28,5.900000000000002,-21.18,IDLE,0
1770857586.6512344,33.84,57.14,28.02,77.95,5.820000000000004,-20.81,IDLE,0
1770857597.905316,33.92,57.03,28.07,77.94,5.850000000000001,-20.91,IDLE,0
1770857778.25082,33.98,56.6,28.16,77.68,5.819999999999997,-21.080000000000005,IDLE,0
1770857861.5304143,34.19,55.85,28.19,77.03,5.9999999999999964,-21.18,IDLE,0
1770857932.430694,34.31,55.32,28.14,77.32,6.170000000000002,-21.999999999999996,IDLE,0
1770858031.1849382,34.49,54.72,28.21,77.27,6.280000000000001,-22.55,IDLE,0
1770857676.6839354,33.64,57.3,28.1,77.77,5.539999999999999,-20.47,IDLE,0
1770857676.9646766,33.65,57.28,28.1,77.8,5.549999999999997,-20.52,IDLE,0
1770857606.064091,33.9,56.93,28.07,77.95,5.829999999999998,-21.020000000000003,IDLE,0
1770857924.5530214,34.28,55.3,28.14,77.18,6.140000000000001,-21.88000000000001,IDLE,0
1770857912.7356613,34.33,55.36,28.14,77.17,6.189999999999998,-21.81,IDLE,0
1770857681.1843233,33.66,57.33,28.09,77.76,5.569999999999997,-20.430000000000007,IDLE,0
1770857971.5386202,34.45,55.02,28.21,77.19,6.240000000000002,-22.169999999999995,IDLE,0
1770857626.8849735,33.75,57.04,28.07,77.92,5.68,-20.880000000000003,IDLE,0
1770857746.4586115,33.85,57.13,28.12,77.91,5.73,-20.779999999999998,IDLE,0
1770857949.0305357,34.39,55.22,28.18,77.33,6.210000000000001,-22.11,IDLE,0
1770857727.3269455,33.69,57.27,28.08,78.03,5.609999999999999,-20.76,IDLE,0
1770857946.4983964,34.37,55.25,28.19,77.26,6.179999999999996,-22.010000000000005,IDLE,0
1770857988.982025,34.44,54.95,28.2,77.17,6.239999999999998,-22.22,IDLE,0
1770857927.6478674,34.3,55.35,28.16,77.28,6.139999999999997,-21.93,IDLE,0
1770857993.4839778,34.47,54.99,28.2,77.21,6.27,-22.21999999999999,IDLE,0
1770857980.2608693,34.44,54.93,28.19,77.22,6.2499999999999964,-22.29,IDLE,0
1770857770.0914433,33.97,56.68,28.15,77.68,5.82,-21.000000000000007,IDLE,0
1770857587.213885,33.86,57.11,28.04,77.89,5.82,-20.78,IDLE,0
1770857845.4941623,34.02,56.09,28.17,77.33,5.850000000000001,-21.239999999999995,IDLE,0
1770857769.2473886,33.98,56.71,28.16,77.68,5.819999999999997,-20.97000000000001,IDLE,0
1770858022.1816669,34.55,54.84,28.22,77.27,6.329999999999998,-22.429999999999996,IDLE,0
1770857908.797842,34.31,55.44,28.18,77.06,6.130000000000003,-21.620000000000005,IDLE,0
1770857873.628454,34.26,55.54,28.19,76.96,6.069999999999997,-21.419999999999995,IDLE,0
1770857623.7887423,33.79,57.08,28.05,77.94,5.739999999999998,-20.86,IDLE,0
1770857761.3692503,33.91,56.85,28.15,77.77,5.759999999999998,-20.919999999999995,IDLE,0
1770857742.8005152,33.82,57.14,28.11,77.95,5.710000000000001,-20.81,IDLE,0
1770857814.826829,33.98,56.34,28.14,77.46,5.839999999999996,-21.11999999999999,IDLE,0
1770857864.6251917,34.19,55.76,28.19,76.97,5.9999999999999964,-21.21,IDLE,0
